radar,metric,season,nights,years,first,last,p50,p70,p90,max,share_top10,lat,lon
eslid,vid_night,autumn,460,6,2017-11-06,2022-11-30,2.0,4.0,9.5,45.6,0.4,42.0,-4.6
esmad,vid_night,spring,412,5,2018-02-15,2023-05-18,0.4,1.9,4.0,7.4,0.4,40.2,-3.7
esmad,vid_night,autumn,460,6,2017-11-06,2022-11-30,0.7,2.1,4.7,12.1,0.4,40.2,-3.7
esmal,vid_night,spring,417,5,2018-02-16,2023-05-18,0.5,2.3,4.6,10.4,0.4,36.6,-4.7
esmal,vid_night,autumn,468,6,2017-11-06,2022-11-30,0.6,1.5,3.0,9.3,0.4,36.6,-4.7
esmur,vid_night,spring,264,5,2018-02-15,2023-05-18,0.0,0.3,1.4,4.7,0.6,38.3,-1.2
esmur,vid_night,autumn,408,6,2017-11-06,2022-11-30,0.2,0.8,2.0,12.4,0.5,38.3,-1.2
espma,vid_night,spring,415,5,2018-02-15,2023-05-18,0.1,0.4,1.3,17.4,0.6,39.4,2.8
espma,vid_night,autumn,434,6,2017-10-28,2022-11-30,0.4,0.8,1.8,5.2,0.4,39.4,2.8
essan,vid_night,spring,413,5,2018-02-15,2023-05-18,0.5,1.6,2.8,6.9,0.4,43.5,-6.3
essan,vid_night,autumn,444,6,2017-11-06,2022-11-30,0.4,1.6,2.4,20.8,0.4,43.5,-6.3
essev,vid_night,spring,391,5,2018-02-15,2023-05-18,0.4,1.7,3.9,9.8,0.4,37.7,-6.3
essev,vid_night,autumn,455,6,2017-11-06,2022-11-30,0.5,1.4,3.8,13.0,0.4,37.7,-6.3
essft,vid_night,spring,106,1,2026-02-15,2026-05-31,1.5,2.4,4.5,7.3,0.3,39.4,-6.3
essse,vid_night,spring,376,5,2018-02-15,2023-05-18,0.9,1.9,5.1,13.4,0.4,43.4,-2.8
essse,vid_night,autumn,427,6,2017-11-06,2022-11-30,0.7,1.6,3.6,27.7,0.4,43.4,-2.8
estjv,vid_night,spring,106,1,2026-02-15,2026-05-31,6.3,8.7,12.5,19.3,0.2,40.2,-3.7
esval,vid_night,spring,376,5,2018-02-15,2023-04-26,0.2,2.1,4.3,9.9,0.4,39.2,-0.3
esval,vid_night,autumn,447,6,2017-11-06,2022-11-30,0.5,2.3,4.0,8.2,0.4,39.2,-0.3
eszar,vid_night,spring,419,5,2018-02-15,2023-05-18,0.4,1.6,4.9,24.8,0.5,41.7,-0.5
eszar,vid_night,autumn,460,6,2017-11-06,2022-11-30,1.4,3.3,7.3,19.8,0.4,41.7,-0.5
frabb,vid_night,spring,994,10,2016-02-15,2026-05-31,1.0,2.3,8.2,70.1,0.5,50.1,1.8
frabb,vid_night,autumn,1035,11,2016-08-15,2026-08-30,1.4,3.3,11.1,110.1,0.5,50.1,1.8
fraja,vid_night,spring,622,6,2020-02-15,2026-05-31,0.4,0.9,5.5,33.1,0.7,42.0,8.7
fraja,vid_night,autumn,713,8,2019-09-04,2026-08-30,0.5,1.1,4.8,31.5,0.6,42.0,8.7
frale,vid_night,spring,1010,10,2016-02-15,2026-05-31,4.5,8.4,47.5,1632.0,0.7,42.1,9.5
frale,vid_night,autumn,898,10,2016-08-15,2026-08-30,5.1,15.4,74.5,1984.4,0.8,42.1,9.5
frave,vid_night,spring,980,10,2016-02-15,2026-05-31,1.3,3.0,11.9,138.1,0.6,50.1,3.8
frave,vid_night,autumn,1039,11,2016-08-15,2026-08-30,1.3,4.1,13.5,160.0,0.6,50.1,3.8
frbla,vid_night,spring,981,10,2016-02-15,2026-05-30,2.1,4.8,19.9,358.0,0.6,47.4,4.8
frbla,vid_night,autumn,1027,11,2016-08-15,2026-08-30,2.3,5.9,23.4,223.0,0.5,47.4,4.8
