city,season,doy_bin,doy_centre,nights,pred_mean,p_alert_mean,pred_q90,alert_q90,pred_q75,alert_q75,pred_q50,alert_q50
Valladolid,spring,9,95,258,1.5024,0.0900,1.8015,0.1769,1.7016,0.1218,1.5003,0.0675
Valladolid,spring,10,105,258,1.5196,0.0877,1.8014,0.1758,1.7151,0.1209,1.5622,0.0661
Valladolid,spring,11,115,258,1.5587,0.0907,1.8087,0.1769,1.7382,0.1233,1.5886,0.0688
Valladolid,spring,12,125,258,1.5572,0.0928,1.8056,0.1799,1.7318,0.1274,1.5864,0.0756
Valladolid,spring,13,135,229,1.5776,0.1020,1.8011,0.2080,1.7399,0.1477,1.6057,0.0839
Valladolid,spring,14,145,169,1.5682,0.0989,1.7951,0.2046,1.7224,0.1459,1.6000,0.0841
Valladolid,spring,15,155,109,1.5631,0.1081,1.7810,0.2155,1.7082,0.1507,1.6098,0.0935
Valladolid,autumn,22,225,117,1.7801,0.1074,1.9184,0.1752,1.8570,0.1363,1.7795,0.0910
Valladolid,autumn,23,235,167,1.7548,0.1056,1.9040,0.1817,1.8463,0.1384,1.7589,0.0907
Valladolid,autumn,24,245,217,1.7566,0.1160,1.9247,0.2090,1.8590,0.1429,1.7688,0.0944
Valladolid,autumn,25,255,226,1.7306,0.1132,1.9184,0.2025,1.8404,0.1365,1.7483,0.0935
Valladolid,autumn,26,265,216,1.7072,0.1095,1.8935,0.1983,1.8169,0.1314,1.7344,0.0901
Valladolid,autumn,27,275,215,1.6618,0.1013,1.8912,0.1881,1.8062,0.1267,1.7078,0.0828
Valladolid,autumn,28,285,215,1.5831,0.0806,1.8300,0.1376,1.7514,0.1157,1.6142,0.0701
Valladolid,autumn,29,295,215,1.4982,0.0679,1.7942,0.1327,1.6939,0.0935,1.4639,0.0536
Valladolid,autumn,30,305,215,1.3596,0.0539,1.6972,0.1226,1.5219,0.0726,1.3509,0.0348
Valladolid,autumn,31,315,206,1.2283,0.0403,1.5776,0.0929,1.4027,0.0518,1.2549,0.0229
Valladolid,autumn,32,325,156,1.1577,0.0322,1.4469,0.0710,1.3156,0.0333,1.1663,0.0187
Valladolid,autumn,33,335,106,1.0574,0.0221,1.3003,0.0351,1.1926,0.0235,1.0241,0.0152
Vigo,spring,3,35,66,1.1637,0.0425,1.4360,0.1020,1.2419,0.0549,1.1171,0.0252
Vigo,spring,4,45,126,1.1945,0.0462,1.4360,0.0991,1.2773,0.0578,1.1811,0.0341
Vigo,spring,5,55,186,1.2339,0.0620,1.4464,0.1386,1.3255,0.0849,1.2268,0.0436
Vigo,spring,6,65,246,1.2506,0.0690,1.4436,0.1506,1.3408,0.0915,1.2515,0.0510
Vigo,spring,7,75,258,1.2866,0.0866,1.4666,0.1922,1.3702,0.1136,1.2786,0.0635
Vigo,spring,8,85,258,1.3026,0.0976,1.4669,0.2095,1.3770,0.1360,1.2879,0.0721
Vigo,spring,9,95,258,1.3003,0.1085,1.4572,0.2364,1.3770,0.1499,1.2903,0.0775
Vigo,spring,10,105,258,1.2975,0.1160,1.4665,0.2460,1.3770,0.1502,1.2839,0.0786
Vigo,spring,11,115,258,1.2953,0.1184,1.4634,0.2575,1.3635,0.1596,1.2789,0.0780
Vigo,spring,12,125,258,1.2781,0.1253,1.4239,0.2684,1.3485,0.1660,1.2609,0.0870
Vigo,spring,13,135,229,1.2647,0.1405,1.4144,0.3187,1.3264,0.1988,1.2482,0.1006
Vigo,spring,14,145,169,1.2576,0.1416,1.3803,0.2999,1.3201,0.2132,1.2395,0.1115
Vigo,spring,15,155,109,1.2461,0.1582,1.3955,0.3135,1.3150,0.2305,1.2358,0.1327
Vigo,autumn,22,225,117,1.3239,0.1586,1.4782,0.2635,1.3991,0.2226,1.3313,0.1435
Vigo,autumn,23,235,167,1.3186,0.1481,1.4839,0.2535,1.3978,0.2083,1.3196,0.1292
Vigo,autumn,24,245,217,1.3370,0.1552,1.5264,0.2833,1.4227,0.2138,1.3337,0.1340
Vigo,autumn,25,255,226,1.3212,0.1389,1.5372,0.2682,1.4131,0.1854,1.3128,0.0989
Vigo,autumn,26,265,216,1.3278,0.1306,1.5289,0.2463,1.4224,0.1810,1.3131,0.0965
Vigo,autumn,27,275,215,1.3246,0.1308,1.5271,0.2482,1.4193,0.1812,1.3168,0.0937
Vigo,autumn,28,285,215,1.3069,0.1153,1.4612,0.2058,1.3889,0.1478,1.2986,0.0891
Vigo,autumn,29,295,215,1.2906,0.1138,1.4612,0.2129,1.3624,0.1496,1.2746,0.0847
Vigo,autumn,30,305,215,1.2597,0.1052,1.4545,0.2115,1.3440,0.1415,1.2495,0.0719
Vigo,autumn,31,315,206,1.2166,0.0901,1.4327,0.1901,1.3239,0.1103,1.2069,0.0578
Vigo,autumn,32,325,156,1.1895,0.0837,1.4132,0.1839,1.2848,0.1015,1.1772,0.0447
Vigo,autumn,33,335,106,1.1299,0.0642,1.3203,0.1507,1.2250,0.0802,1.1177,0.0373
Zaragoza,spring,3,35,66,1.1252,0.0302,1.4190,0.0654,1.2914,0.0372,1.1227,0.0209
Zaragoza,spring,4,45,126,1.1625,0.0345,1.4406,0.0761,1.3399,0.0411,1.2023,0.0250
Zaragoza,spring,5,55,186,1.2427,0.0620,1.5511,0.1444,1.4355,0.0785,1.2707,0.0366
Zaragoza,spring,6,65,246,1.2769,0.0661,1.6271,0.1630,1.4708,0.0873,1.2971,0.0404
Zaragoza,spring,7,75,258,1.3346,0.0752,1.7002,0.1761,1.5479,0.1085,1.3542,0.0479
Zaragoza,spring,8,85,258,1.3952,0.0824,1.7260,0.1761,1.6178,0.1153,1.4468,0.0614
Zaragoza,spring,9,95,258,1.4216,0.0837,1.7418,0.1795,1.6524,0.1182,1.4988,0.0654
Zaragoza,spring,10,105,258,1.4416,0.0815,1.7454,0.1750,1.6648,0.1150,1.5262,0.0659
Zaragoza,spring,11,115,258,1.4841,0.0899,1.7549,0.1983,1.6787,0.1241,1.5669,0.0742
Zaragoza,spring,12,125,258,1.4885,0.0933,1.7573,0.2012,1.6861,0.1349,1.5473,0.0773
Zaragoza,spring,13,135,229,1.5173,0.0993,1.7599,0.2050,1.6798,0.1417,1.5728,0.0825
Zaragoza,spring,14,145,169,1.5108,0.0970,1.7599,0.1951,1.6774,0.1404,1.5587,0.0823
Zaragoza,spring,15,155,109,1.5111,0.1006,1.7531,0.2072,1.6541,0.1383,1.5481,0.0829
Zaragoza,autumn,22,225,117,1.7349,0.1631,1.8992,0.3200,1.8188,0.2110,1.7488,0.1308
Zaragoza,autumn,23,235,167,1.7136,0.1507,1.8854,0.2902,1.8012,0.1951,1.7307,0.1242
Zaragoza,autumn,24,245,217,1.7032,0.1471,1.8823,0.2807,1.7981,0.1946,1.7277,0.1227
Zaragoza,autumn,25,255,226,1.6765,0.1301,1.8435,0.2422,1.7729,0.1629,1.6884,0.1089
Zaragoza,autumn,26,265,216,1.6639,0.1223,1.8334,0.2142,1.7649,0.1564,1.6820,0.1082
Zaragoza,autumn,27,275,215,1.6512,0.1236,1.8375,0.2276,1.7642,0.1612,1.6638,0.1082
Zaragoza,autumn,28,285,215,1.6106,0.1127,1.8036,0.1957,1.7250,0.1514,1.6231,0.0971
Zaragoza,autumn,29,295,215,1.5459,0.0996,1.7785,0.1914,1.6851,0.1430,1.5545,0.0779
